"","Date","Station","Z002","Z003","Z004","Z005","Z006","Z007","Z008","Z009","Z011","Z010","Z080","Z012","Z013","Z014","Z015","Z018","Z019","Z020","Z021","Z022","Z023.1","Z023.2","Z023.3","Z024","Z025","Z026","Z027","Z028","Z030","Z032","Z036","Z034","Z035","Z037","Z038","Z039","Z074","Z067","Z040","Z041","Z042","Z043","Z044","Z045","Z046","Z047","Z048","Z077","Z049","Z051","Z052","Z054","Z055","Z056","Z057","Z058","Z076","Z078","Z059","Z060","Z061","Z062","Z063","Z065","Z068","Z079","Z069","Z071"
"210","1990/09/12",3,0,0,0,2,0,0,0,0,0,0,0,54,180,0,438,0,0,0,14,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,38,90,0,0,14,26,0,0,0,0,0,0,0,180,76,0,0,164,0
"212","1990/11/07",3,0,0,0,52,0,0,0,0,0,0,0,85,181,1,22,0,7,0,11,0,1,0,0,12,0,0,0,0,4,0,0,15,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,323,0,0,7,0,0,0,0,0,0,0,0,98,15,0,0,70,0
"213","1990/12/12",3,0,0,0,4,0,0,0,0,0,0,0,56,71,0,220,0,0,0,7,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,75,2,0,0,8,0
"214","1991/01/09",3,0,0,0,0,0,0,0,0,0,0,0,28,53,0,424,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,404,1,0,0,2,0
"215","1991/02/06",3,0,0,0,0,0,0,0,0,0,0,0,35,88,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"216","1991/03/13",3,0,0,0,0,0,0,0,0,0,0,0,95,162,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"217","1991/04/10",3,0,0,0,0.5,0,0,0,0,0,0,0,35.5,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.5,0,0,0,0,0,0,0,0,118,0,64,0,0.5,0
"218","1991/05/08",3,0,0,0,2,0,0,0,0,0,0,0,34.5,119.5,0,2,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141.5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,32,0
"219","1991/06/12",3,0,0,0,3,0,0,0,0,0,0,0,1,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,0,7,0
"220","1991/07/10",3,0,0,0,49,0,0,0,0,0,0,0,43.5,319.5,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0
